date,hour,avg_price,min_price,max_price,first_price,last_price,data_points,calculated_at
2026-02-24,1,64707.42815179,64693.95145908,64711.98402621,64693.95145908,64711.84477997,4,2026-02-24 01:22:31
2026-02-24,1,64880.61456915964,64693.95145908,64985.65413716,64693.95145908,64961.29680161,28,2026-02-24 01:45:35
2026-02-24,4,63752.28639187,63752.28639187,63752.28639187,63752.28639187,63752.28639187,1,2026-02-24 04:06:54
2026-02-24,4,63752.277389815004,63752.26838776,63752.28639187,63752.28639187,63752.26838776,2,2026-02-24 04:06:55
2026-02-24,7,63218.84072105,63099.02822665,63259.19626476,63259.19626476,63099.02822665,4,2026-02-24 07:55:14
2026-02-24,9,63374.448137933854,63344.6276561,63399.20469811,63344.63245348,63363.31972281,13,2026-02-24 09:55:13
2026-02-24,10,63204.62659844674,62995.66329479,63407.18486813,63407.18486813,63105.83835474,43,2026-02-24 10:58:02
2026-02-24,11,63231.47972672643,63159.9937329,63299.20882629,63230.42101147,63299.20882629,56,2026-02-24 11:55:14
2026-02-24,14,62947.59599927917,62892.27954356,62995.48605785,62995.48333778,62954.3356553,24,2026-02-24 14:55:25
2026-02-24,15,63043.78358895018,62843.32111228,63655.13855123,62950.97021234,63655.13855123,55,2026-02-24 15:55:13
2026-02-24,16,63702.54271791491,63405.62552703,63930.81021353,63503.43654467,63823.14364709,55,2026-02-24 16:55:14
2026-02-24,17,64036.345600771645,63749.15448496,64321.58728146,63981.66207272,63871.70392067,55,2026-02-24 17:55:14
