date,title,summary
2024-01-01,At least 100 people killed in Gaza in past 24 hours as conflict rolls into new year – as it happened,This blog is now closed
2024-01-01,Iran rejects US and UK calls to end support for Houthi Red Sea attacks,Iran security chief praises ‘brave actions’ of Houthi rebels who have targeted Israeli-linked vessels in shipping lane
2024-01-01,Irish police investigate fire at disused pub set to house homeless families,Blaze in Dublin comes less than fortnight after suspected arson attack on vacant Galway hotel earmarked for asylum seekers
2024-01-01,Israel supreme court strikes down Netanyahu’s judicial overhaul law,Court overturns law preventing judges from quashing government decisions they deem unreasonable
2024-01-01,Israel to withdraw some troops from Gaza amid new campaign planning,Official says intense new phase of war to last at least six more months as country also prepares for Lebanon conflict
2024-01-01,Japan earthquakes: ‘battle against time’ to find those trapped under rubble as death toll rises,"The quakes, the largest of which had a magnitude of 7.6, have left 55 dead and led to tsunami warnings which were later lifted"
2024-01-01,Russia launches 90 drone attacks on Ukraine in early hours of new year,"Most of Shahed-type drones targeting Odesa and Lviv intercepted, say officials, although teenage boy is killed by falling debris"
2024-01-01,Russia-Ukraine war at a glance: what we know on day 677,Russia launches fresh attacks as the new year begins; Zelenskiy and Putin give New Year addresses
2024-01-01,Russia-Ukraine war: Putin calls Ukrainian strikes on Belgorod ‘terrorist act’ that ‘will not go unpunished’ – as it happened,Russian president says Moscow will continue to strike ‘sensitive’ military targets in Ukraine and says war is turning in Russia’s favour
2024-01-01,Why Labour needs to decide whether to break the consensus on Israel,Airstrikes against Houthi rebels and the prospect of a year-long Gaza conflict will test cross-party thinking at Westminster
2024-01-01,Zelenskiy says Ukraine has become stronger as war moves towards its second year,"New Year’s address made almost no direct reference to the situation on the 1,000-km front line or the limited success of a counteroffensive"
2024-01-01,‘We live on 7 October’: Hamas victim Maya Puder remembered by her family,"Puder, an aspiring actor and film-maker, was found dead four days after the Hamas attack in Israel"
2024-01-02,"Gaza death toll passes 22,000 as Israel steps up war against Hamas",Israeli defence minister says his country is planning for a long conflict as senior Hamas official is killed in Beirut drone strike
2024-01-02,IDF claims to have killed regional Hamas commander – as it happened,This blog has now closed. You can read our full report on the latest developments here and read all our Israel-Gaza war coverage here
2024-01-02,Israel-Gaza war: will the Red Sea crisis lead to a wider Middle East conflict?,Escalating Houthi attacks on cargo ships in the Red Sea are stoking fears that the Gaza conflict could engulf the Middle East
2024-01-02,Israel’s judicial overhaul plans: what is row about and will it affect war in Gaza?,How significant is supreme court’s decision to throw out law that would have restricted its own powers?
2024-01-02,Renewed Russian strikes offer grim portent for Ukraine in 2024,"Moscow shows bullish determination, draining western-supplied air defences and talking of Kyiv’s total capitulation"
2024-01-02,Russia-Ukraine war at a glance: what we know on day 678,Putin says Russia will ‘intensify’ strikes on military targets in Ukraine; Zelenskiy says Moscow is suffering major losses
2024-01-02,Russia-Ukraine war: At least five dead after Russian missile attacks on Ukraine; Russia accidentally bombs own village – as it happened,Strikes hit Kharkiv and Kyiv as Putin vows to intensify strikes after Ukrainian attack on Belgorod; airstrikes accidentally hit village in Russian Voronezh region
2024-01-02,Russian missiles pound Kyiv as Putin vows to intensify attacks on Ukraine,"Ukraine’s president, Volodymyr Zelenskiy, says four people were killed and 92 injured across the country"
