source_feed,published,title,summary,link,text_for_sentiment,news_desk,section_name,year_month,date
nyt_archive_api,2024-01-01 00:53:23+00:00,"U.S. Helicopters Sink 3 Houthi Boats in Red Sea, Pentagon Says","Iranian-backed Houthi gunmen from Yemen had fired on American helicopters responding to an attack on a commercial ship, American officials said.",https://www.nytimes.com/2023/12/31/world/middleeast/us-houthi-clash.html,"U.S. Helicopters Sink 3 Houthi Boats in Red Sea, Pentagon Says Iranian-backed Houthi gunmen from Yemen had fired on American helicopters responding to an attack on a commercial ship, American officials said. Iranian-backed Houthi gunmen from Yemen had fired on American helicopters responding to an attack on a commercial ship, American officials said. A clash between Iranian-backed Houthi fighters who were attacking a commercial freighter and U.S. Navy helicopters responding to the ship’s distress call ended on Sunday morning with the killing of all the crew members on three Houthi boats, the Pentagon said, a sharp escalation of violence at a moment when the White House is considering direct strikes on Iran’s proxies in the Middle East.",Foreign,World,2024-01,2024-01-01
nyt_archive_api,2024-01-01 02:09:45+00:00,"In Times Square, Hundreds of Thousands Ring In 2024",New Year’s celebrations took place as protesters against the Israel-Hamas war staged demonstrations in Midtown Manhattan.,https://www.nytimes.com/2023/12/31/nyregion/times-square-new-years-eve.html,"In Times Square, Hundreds of Thousands Ring In 2024 New Year’s celebrations took place as protesters against the Israel-Hamas war staged demonstrations in Midtown Manhattan. New Year’s celebrations took place as protesters against the Israel-Hamas war staged demonstrations in Midtown Manhattan. Hundreds of thousands of people crowded into Times Square on Sunday night to ring in the New Year, amid heightened security and scattered demonstrations in Midtown Manhattan over the Israel-Hamas war.",Metro,New York,2024-01,2024-01-01
nyt_archive_api,2024-01-01 05:01:23+00:00,"Half of Gazans Are at Risk of Starving, U.N. Warns","More than 90 percent of Palestinians in the territory say they have regularly gone without food for a whole day, according to the United Nations.",https://www.nytimes.com/2024/01/01/world/middleeast/gaza-israel-hunger.html,"Half of Gazans Are at Risk of Starving, U.N. Warns More than 90 percent of Palestinians in the territory say they have regularly gone without food for a whole day, according to the United Nations. More than 90 percent of Palestinians in the territory say they have regularly gone without food for a whole day, according to the United Nations. Walaa Zaiter’s four children have been hungry for weeks, but she can barely find them food.",Foreign,World,2024-01,2024-01-01
nyt_archive_api,2024-01-01 05:49:05+00:00,Monday Briefing,Friction between the U.S. and Israel.,https://www.nytimes.com/2024/01/01/briefing/israel-relationship-ukraine-denmark.html,"Monday Briefing Friction between the U.S. and Israel. Friction between the U.S. and Israel. No other episode in the past half-century has tested the ties between the U.S. and Israel so significantly as the current war in Gaza. President Biden’s initial resolve to stand by Israel has given way to frustrating phone calls, sharp public comments and exhausting marathon meetings as the relationship has grown fraught.",NYTNow,Briefing,2024-01,2024-01-01
nyt_archive_api,2024-01-01 06:00:14+00:00,What’s on TV This Week: ‘RuPaul’s Drag Race’ and the Golden Globes,The competition show featuring drag queens comes back for a 16th season. The annual award show airs on CBS.,https://www.nytimes.com/2024/01/01/arts/television/whats-on-tv-this-week-rupauls-drag-race-and-the-golden-globes.html,"What’s on TV This Week: ‘RuPaul’s Drag Race’ and the Golden Globes The competition show featuring drag queens comes back for a 16th season. The annual award show airs on CBS. The competition show featuring drag queens comes back for a 16th season. The annual award show airs on CBS. Between network, cable and streaming, the modern television landscape is a vast one. Here are some of the shows, specials and movies coming to TV this week, Jan. 1-7. Details and times are subject to change.",Culture,Arts,2024-01,2024-01-01
nyt_archive_api,2024-01-01 08:00:02+00:00,Today’s Wordle Review,In case you need some puzzle help.,https://www.nytimes.com/2024/01/01/crosswords/wordle-review.html,"Today’s Wordle Review In case you need some puzzle help. In case you need some puzzle help. Welcome to The Wordle Review. Be warned: This page contains spoilers for today’s puzzle. Solve Wordle first, or scroll at your own risk.",Games,Crosswords & Games,2024-01,2024-01-01
nyt_archive_api,2024-01-01 10:01:01+00:00,What Our Critics Are Looking Forward to in 2024,"“Mad Max” gets a prequel, “The Wiz” returns to Broadway and Larry David gets another crack at a series finale.",https://www.nytimes.com/2024/01/01/arts/tv-movies-music-picks-2024.html,"What Our Critics Are Looking Forward to in 2024 “Mad Max” gets a prequel, “The Wiz” returns to Broadway and Larry David gets another crack at a series finale. “Mad Max” gets a prequel, “The Wiz” returns to Broadway and Larry David gets another crack at a series finale. Early in 1969, the Metropolitan Museum sparked an uproar with an exhibition called “Harlem on My Mind: Cultural Capital of Black America, 1900-1968.” Although conceived as the museum’s first big-ticket acknowledgment of African American creativity, it included no visual art beyond documentary photomurals. Black artists, many working in Harlem just blocks north of the museum, angrily picketed the show, denouncing it as evidence of art world racism writ large.",Culture,Arts,2024-01,2024-01-01
nyt_archive_api,2024-01-01 10:01:01+00:00,Making a Cooking Resolution? These 9 Recipes Will Get You Started.,"Whether you want to eat less meat, bake more crowd-pleasing desserts or (finally) learn how to cook, here are some first steps for the new year.",https://www.nytimes.com/2024/01/01/dining/new-years-resolution-recipes.html,"Making a Cooking Resolution? These 9 Recipes Will Get You Started. Whether you want to eat less meat, bake more crowd-pleasing desserts or (finally) learn how to cook, here are some first steps for the new year. Whether you want to eat less meat, bake more crowd-pleasing desserts or (finally) learn how to cook, here are some first steps for the new year. If abiding by resolutions were as easy as setting them, perfection would be attainable and the self-improvement section of the bookstore would be cobweb city. Still, self-reflection can be a rewarding exercise at the beginning of a new year. What better place to start than in the kitchen, where you have to spend at least a little bit of time each day?",Dining,Food,2024-01,2024-01-01
nyt_archive_api,2024-01-01 10:01:10+00:00,Young Love Meets Russian Repression. They Said ‘I Do’ in a Moscow Prison,She’s 18. He’s 23. He sent her a one-sentence letter through his prison’s electronic mail system: “Will you marry me?” They wed in a small room in a Moscow jail.,https://www.nytimes.com/2024/01/01/world/europe/russia-prison-wedding-repression.html,"Young Love Meets Russian Repression. They Said ‘I Do’ in a Moscow Prison She’s 18. He’s 23. He sent her a one-sentence letter through his prison’s electronic mail system: “Will you marry me?” They wed in a small room in a Moscow jail. She’s 18. He’s 23. He sent her a one-sentence letter through his prison’s electronic mail system: “Will you marry me?” They wed in a small room in a Moscow jail. Nadezhda Shtovba did not wear a white dress to her wedding. There were no bridesmaids or groomsmen. She and her husband, Yegor, did not exchange wedding bands either — rings are banned in Butyrka prison.",Foreign,World,2024-01,2024-01-01
nyt_archive_api,2024-01-01 10:01:36+00:00,$4.5 Million Homes in California,"A Tudor Revival cottage in Carmel, an equestrian compound in the San Fernando Valley once owned by Patrick Swayze and a waterfront house in Huntington Beach.",https://www.nytimes.com/2024/01/01/realestate/4-million-dollar-homes-california.html,"$4.5 Million Homes in California A Tudor Revival cottage in Carmel, an equestrian compound in the San Fernando Valley once owned by Patrick Swayze and a waterfront house in Huntington Beach. A Tudor Revival cottage in Carmel, an equestrian compound in the San Fernando Valley once owned by Patrick Swayze and a waterfront house in Huntington Beach. This home, which received a Carmel Heritage Award in 2004, was built to resemble the older storybook cottages for which the city is known. It is a few blocks from Carmel Plaza, an outdoor dining and shopping hub, and within walking distance of a number of restaurants.",RealEstate,Real Estate,2024-01,2024-01-01
nyt_archive_api,2024-01-01 10:02:09+00:00,"Trump Team, Burned in 2016, Looks to Close Out Iowa","The former president is leading by impressive margins in the state, but his campaign wants to make sure his supporters turn out.",https://www.nytimes.com/2024/01/01/us/politics/trump-iowa-caucuses.html,"Trump Team, Burned in 2016, Looks to Close Out Iowa The former president is leading by impressive margins in the state, but his campaign wants to make sure his supporters turn out. The former president is leading by impressive margins in the state, but his campaign wants to make sure his supporters turn out. As former President Donald J. Trump campaigned in Iowa in the fall, he projected the utmost confidence. He told his supporters during speeches that his advisers had constantly warned him not to take the state for granted. Buoyed by his dominance in state polls, Mr. Trump insisted he had no reason to worry.",Politics,U.S.,2024-01,2024-01-01
nyt_archive_api,2024-01-01 13:44:22+00:00,Israel Says It Will Pull Several Brigades From Gaza Strip,Analysts say the announcement could signal a shift to the more limited and targeted war against Hamas that the United States has been urging.,https://www.nytimes.com/2024/01/01/world/middleeast/israel-gaza-troop-withdrawal.html,"Israel Says It Will Pull Several Brigades From Gaza Strip Analysts say the announcement could signal a shift to the more limited and targeted war against Hamas that the United States has been urging. Analysts say the announcement could signal a shift to the more limited and targeted war against Hamas that the United States has been urging. The Israeli military said on Monday that it would begin withdrawing several thousand troops from the Gaza Strip at least temporarily, in what was  the most significant publicly announced reduction since the war with Hamas began.",Foreign,World,2024-01,2024-01-01
nyt_archive_api,2024-01-01 14:00:13+00:00,That Numbness You’re Feeling? There’s a Word for It.,Feeling other people’s pain is not the best way to help them — or yourself.,https://www.nytimes.com/2024/01/01/opinion/israel-war-empathy-pain.html,"That Numbness You’re Feeling? There’s a Word for It. Feeling other people’s pain is not the best way to help them — or yourself. Feeling other people’s pain is not the best way to help them — or yourself. In mid-October, a few days after the attack on Israel, a friend sent me a text from a rabbi. She said she couldn’t look away from the horror on the news but felt completely numb. She was struggling to feel even the tiniest bit useful: “What can I even do?”",OpEd,Opinion,2024-01,2024-01-01
nyt_archive_api,2024-01-01 14:08:08+00:00,Map: Earthquake Strikes Japan,View the location of the quake’s epicenter and shake area.,https://www.nytimes.com/interactive/2024/01/01/world/asia/japan-earthquake-map.html,Map: Earthquake Strikes Japan View the location of the quake’s epicenter and shake area. View the location of the quake’s epicenter and shake area. View the location of the quake’s epicenter and shake area.,Weather,World,2024-01,2024-01-01
nyt_archive_api,2024-01-01 16:00:07+00:00,A Gaza Mayor’s View of the Conflict,Readers discuss a guest essay about the war’s toll in Gaza. Also: Western businesses in Russia; abortion pill case; dogs and social media.,https://www.nytimes.com/2024/01/01/opinion/letters/gaza-mayor.html,A Gaza Mayor’s View of the Conflict Readers discuss a guest essay about the war’s toll in Gaza. Also: Western businesses in Russia; abortion pill case; dogs and social media. Readers discuss a guest essay about the war’s toll in Gaza. Also: Western businesses in Russia; abortion pill case; dogs and social media. To the Editor:,Letters,Opinion,2024-01,2024-01-01
nyt_archive_api,2024-01-01 17:18:57+00:00,Jan. 8: The new Vulcan rocket launched Astrobotic’s uncrewed lander toward the moon.,"United Launch Alliance, a joint venture between Boeing and Lockheed Martin, conducted the first flight of Vulcan, its new rocket. The rocket used engines built by Blue Origin, the space company founded by Jeff Bezos of Amazon. It carried Peregrine, a robotic lander built by Astrobotic of Pittsburgh, on a NASA-sponsored mission to Sinus Viscositatis on the moon’s near side. The mission is expected to reach the lunar surface in late February, aiming to be the first privately built moon lander to do so. Look back on the launch here.",https://www.nytimes.com/article/jan-8-the-new-vulcan-rocket-may-launch-astrobotics-uncrewed-lander-to-the-moon.html,"Jan. 8: The new Vulcan rocket launched Astrobotic’s uncrewed lander toward the moon. United Launch Alliance, a joint venture between Boeing and Lockheed Martin, conducted the first flight of Vulcan, its new rocket. The rocket used engines built by Blue Origin, the space company founded by Jeff Bezos of Amazon. It carried Peregrine, a robotic lander built by Astrobotic of Pittsburgh, on a NASA-sponsored mission to Sinus Viscositatis on the moon’s near side. The mission is expected to reach the lunar surface in late February, aiming to be the first privately built moon lander to do so. Look back on the launch here.  United Launch Alliance, a joint venture between Boeing and Lockheed Martin, conducted the first flight of Vulcan, its new rocket. The rocket used engines built by Blue Origin, the space company founded by Jeff Bezos of Amazon. It carried Peregrine, a robotic lander built by Astrobotic of Pittsburgh, on a NASA-sponsored mission to Sinus Viscositatis on the moon’s near side. The mission is expected to reach the lunar surface in late February, aiming to be the first privately built moon lander to do so. Look back on the launch here.",Science,Science,2024-01,2024-01-01
nyt_archive_api,2024-01-01 17:44:57+00:00,"Powerful Earthquake Hits Japan, Setting Off Tsunami Warnings","The epicenter of the quake was in Ishikawa Prefecture, along the west coast of Japan.",https://www.nytimes.com/video/world/asia/100000009246062/japan-earthquake.html,"Powerful Earthquake Hits Japan, Setting Off Tsunami Warnings The epicenter of the quake was in Ishikawa Prefecture, along the west coast of Japan. The epicenter of the quake was in Ishikawa Prefecture, along the west coast of Japan. The epicenter of the quake was in Ishikawa Prefecture, along the west coast of Japan.",,World,2024-01,2024-01-01
nyt_archive_api,2024-01-01 17:56:50+00:00,Putin Vows to Keep Up Bombardment After a Russian City Is Hit,President Vladimir V. Putin of Russia says his country will continue targeting Ukrainian cities in retaliation for a deadly attack on the city of Belgorod on Saturday.,https://www.nytimes.com/2024/01/01/world/europe/ukraine-russia-putin-belgorod.html,"Putin Vows to Keep Up Bombardment After a Russian City Is Hit President Vladimir V. Putin of Russia says his country will continue targeting Ukrainian cities in retaliation for a deadly attack on the city of Belgorod on Saturday. President Vladimir V. Putin of Russia says his country will continue targeting Ukrainian cities in retaliation for a deadly attack on the city of Belgorod on Saturday. President Vladimir V. Putin of Russia vowed on Monday to continue missile strikes on Ukrainian cities, in retaliation for what he called a “terror” attack on the Russian city of Belgorod last week.",Foreign,World,2024-01,2024-01-01
nyt_archive_api,2024-01-01 19:06:41+00:00,"Powerful Earthquake Hits Japan, and Officials Warn of Aftershocks","There were reports of collapsed buildings and people being trapped underneath them. The quake disrupted electricity and phone service, and initially raised fears of a tsunami.",https://www.nytimes.com/2024/01/01/world/asia/japan-earthquake.html,"Powerful Earthquake Hits Japan, and Officials Warn of Aftershocks There were reports of collapsed buildings and people being trapped underneath them. The quake disrupted electricity and phone service, and initially raised fears of a tsunami. There were reports of collapsed buildings and people being trapped underneath them. The quake disrupted electricity and phone service, and initially raised fears of a tsunami. A powerful earthquake struck western Japan on Monday, triggering tsunami warnings and evacuation orders, trapping people under collapsed buildings and disrupting electricity and mobile phone services in Ishikawa Prefecture, the epicenter of the quake, the Japanese authorities said.",Foreign,World,2024-01,2024-01-01
